service_id,date,exception_type
14S_F1,20140901,1
14U_F1,20140624,1
14U_S,20140625,1
14U_S,20140626,1
14U_S,20140627,1
14U_A,20140628,1
14U_I,20140629,1
14U_S,20140630,1
14U_F2,20140701,1
14U_S,20140702,1
14U_S,20140703,1
14U_S,20140704,1
14U_A,20140705,1
14U_I,20140706,1
14U_S,20140707,1
14U_S,20140708,1
14U_S,20140709,1
14U_S,20140710,1
14U_S,20140711,1
14U_A,20140712,1
14U_I,20140713,1
14U_S,20140714,1
14U_S,20140715,1
14U_S,20140716,1
14U_S,20140717,1
14U_S,20140718,1
14U_A,20140719,1
14U_I,20140720,1
14U_S,20140721,1
14U_S,20140722,1
14U_S,20140723,1
14U_S,20140724,1
14U_S,20140725,1
14U_A,20140726,1
14U_I,20140727,1
14U_S,20140728,1
14U_S,20140729,1
14U_S,20140730,1
14U_S,20140731,1
14U_S,20140801,1
14U_A,20140802,1
14U_I,20140803,1
14U_S,20140804,1
14U_S,20140805,1
14U_S,20140806,1
14U_S,20140807,1
14U_S,20140808,1
14U_A,20140809,1
14U_I,20140810,1
14U_S,20140811,1
14U_S,20140812,1
14U_S,20140813,1
14U_S,20140814,1
14U_S,20140815,1
14U_A,20140816,1
14U_I,20140817,1
14U_S,20140818,1
14U_S,20140819,1
14U_S,20140820,1
14U_S,20140821,1
14U_S,20140822,1
14U_A,20140823,1
14U_I,20140824,1
14U_S,20140825,1
14U_S,20140826,1
14U_S,20140827,1
14U_S,20140828,1
14U_S,20140829,1
14U_A,20140830,1
14U_I,20140831,1
14U_S,20140623,1
14S_S,20140902,1
14S_S,20140903,1
14S_S,20140904,1
14S_S,20140905,1
14S_A,20140906,1
14S_I,20140907,1
14S_S,20140908,1
14S_S,20140909,1
14S_S,20140910,1
14S_S,20140911,1
14S_S,20140912,1
14S_A,20140913,1
14S_I,20140914,1
14S_S,20140915,1
14S_S,20140916,1
14S_S,20140917,1
14S_S,20140918,1
14S_S,20140919,1
14S_A,20140920,1
14S_I,20140921,1
14S_S,20140922,1
14S_S,20140923,1
14S_S,20140924,1
14S_S,20140925,1
14S_S,20140926,1
14S_A,20140927,1
14S_I,20140928,1
14S_S,20140929,1
14S_S,20140930,1
14S_S,20141001,1
14S_S,20141002,1
14S_S,20141003,1
14S_A,20141004,1
14S_I,20141005,1
14S_S,20141006,1
14S_S,20141007,1
14S_S,20141008,1
14S_S,20141009,1
14S_S,20141010,1
14S_A,20141011,1
14S_I,20141012,1
14S_F2,20141013,1
14S_S,20141014,1
14S_S,20141015,1
14S_S,20141016,1
14S_S,20141017,1
14S_A,20141018,1
14S_I,20141019,1
14S_S,20141020,1
14S_S,20141021,1
14S_S,20141022,1
14S_S,20141023,1
14S_S,20141024,1
14S_A,20141025,1
14S_I,20141026,1
14S_S,20141027,1
14S_S,20141028,1
14S_S,20141029,1
14S_S,20141030,1
14S_S,20141031,1
14S_A,20141101,1
14S_I,20141102,1
