route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,STM,1,VERTE,1,http://www.stm.info/fr/infos/reseaux/metro/verte,00B300,000000
2,STM,2,ORANGE,1,http://www.stm.info/fr/infos/reseaux/metro/orange,D95700,000000
4,STM,4,JAUNE,1,http://www.stm.info/fr/infos/reseaux/metro/jaune,FFD900,000000
5,STM,5,BLEU,1,http://www.stm.info/fr/infos/reseaux/metro/bleue,0095E6,000000
10,STM,10,De Lorimier,3,http://www.stm.info/fr/infos/reseaux/bus,,
11,STM,11,Montagne,3,http://www.stm.info/fr/infos/reseaux/bus,,
12,STM,12,Île-des-Soeurs,3,http://www.stm.info/fr/infos/reseaux/bus,,
13,STM,13,Christophe-Colomb,3,http://www.stm.info/fr/infos/reseaux/bus,,
14,STM,14,Amherst,3,http://www.stm.info/fr/infos/reseaux/bus,,
15,STM,15,Sainte-Catherine,3,http://www.stm.info/fr/infos/reseaux/bus,,
16,STM,16,Graham,3,http://www.stm.info/fr/infos/reseaux/bus,,
17,STM,17,Décarie,3,http://www.stm.info/fr/infos/reseaux/bus,,
18,STM,18,Beaubien,3,http://www.stm.info/fr/infos/reseaux/bus,,
19,STM,19,Chabanel / Marché Central,3,http://www.stm.info/fr/infos/reseaux/bus,,
21,STM,21,Place du Commerce,3,http://www.stm.info/fr/infos/reseaux/bus,,
22,STM,22,Notre-Dame,3,http://www.stm.info/fr/infos/reseaux/bus,,
23,STM,23,Navette Notre-Dame-de-Grâce,3,http://www.stm.info/fr/infos/reseaux/bus,,
24,STM,24,Sherbrooke,3,http://www.stm.info/fr/infos/reseaux/bus,,
25,STM,25,Angus,3,http://www.stm.info/fr/infos/reseaux/bus,,
26,STM,26,Mercier-Est,3,http://www.stm.info/fr/infos/reseaux/bus,,
27,STM,27,Boulevard Saint-Joseph,3,http://www.stm.info/fr/infos/reseaux/bus,,
28,STM,28,Honoré-Beaugrand,3,http://www.stm.info/fr/infos/reseaux/bus,,
29,STM,29,Rachel,3,http://www.stm.info/fr/infos/reseaux/bus,,
30,STM,30,Saint-Denis / Saint-Hubert,3,http://www.stm.info/fr/infos/reseaux/bus,,
31,STM,31,Saint-Denis,3,http://www.stm.info/fr/infos/reseaux/bus,,
32,STM,32,Lacordaire,3,http://www.stm.info/fr/infos/reseaux/bus,,
33,STM,33,Langelier,3,http://www.stm.info/fr/infos/reseaux/bus,,
34,STM,34,Sainte-Catherine,3,http://www.stm.info/fr/infos/reseaux/bus,,
35,STM,35,Notre-Dame,3,http://www.stm.info/fr/infos/reseaux/bus,,
36,STM,36,Monk,3,http://www.stm.info/fr/infos/reseaux/bus,,
37,STM,37,Jolicoeur,3,http://www.stm.info/fr/infos/reseaux/bus,,
38,STM,38,Ville Marie,3,http://www.stm.info/fr/infos/reseaux/bus,,
39,STM,39,Des Grandes-Prairies,3,http://www.stm.info/fr/infos/reseaux/bus,,
40,STM,40,Henri-Bourassa-Est,3,http://www.stm.info/fr/infos/reseaux/bus,,
41,STM,41,Quartier Saint-Michel / Ahuntsic,3,http://www.stm.info/fr/infos/reseaux/bus,,
43,STM,43,Monselet,3,http://www.stm.info/fr/infos/reseaux/bus,,
44,STM,44,Armand-Bombardier,3,http://www.stm.info/fr/infos/reseaux/bus,,
45,STM,45,Papineau,3,http://www.stm.info/fr/infos/reseaux/bus,,
46,STM,46,Casgrain,3,http://www.stm.info/fr/infos/reseaux/bus,,
47,STM,47,Masson,3,http://www.stm.info/fr/infos/reseaux/bus,,
48,STM,48,Perras,3,http://www.stm.info/fr/infos/reseaux/bus,,
49,STM,49,Maurice-Duplessis,3,http://www.stm.info/fr/infos/reseaux/bus,,
51,STM,51,Édouard-Montpetit,3,http://www.stm.info/fr/infos/reseaux/bus,,
52,STM,52,Liège,3,http://www.stm.info/fr/infos/reseaux/bus,,
53,STM,53,Boulevard Saint-Laurent,3,http://www.stm.info/fr/infos/reseaux/bus,,
54,STM,54,Charland / Chabanel,3,http://www.stm.info/fr/infos/reseaux/bus,,
55,STM,55,Boulevard Saint-Laurent,3,http://www.stm.info/fr/infos/reseaux/bus,,
56,STM,56,Saint-Hubert,3,http://www.stm.info/fr/infos/reseaux/bus,,
57,STM,57,Pointe-Saint-Charles,3,http://www.stm.info/fr/infos/reseaux/bus,,
58,STM,58,Wellington,3,http://www.stm.info/fr/infos/reseaux/bus,,
61,STM,61,Wellington,3,http://www.stm.info/fr/infos/reseaux/bus,,
63,STM,63,Girouard,3,http://www.stm.info/fr/infos/reseaux/bus,,
64,STM,64,Grenet,3,http://www.stm.info/fr/infos/reseaux/bus,,
66,STM,66,The Boulevard,3,http://www.stm.info/fr/infos/reseaux/bus,,
67,STM,67,Saint-Michel,3,http://www.stm.info/fr/infos/reseaux/bus,,
68,STM,68,Pierrefonds,3,http://www.stm.info/fr/infos/reseaux/bus,,
69,STM,69,Gouin,3,http://www.stm.info/fr/infos/reseaux/bus,,
70,STM,70,Bois-Franc,3,http://www.stm.info/fr/infos/reseaux/bus,,
71,STM,71,Du Centre,3,http://www.stm.info/fr/infos/reseaux/bus,,
72,STM,72,Alfred-Nobel,3,http://www.stm.info/fr/infos/reseaux/bus,,
73,STM,73,Dalton,3,http://www.stm.info/fr/infos/reseaux/bus,,
74,STM,74,Bridge,3,http://www.stm.info/fr/infos/reseaux/bus,,
75,STM,75,De la Commune,3,http://www.stm.info/fr/infos/reseaux/bus,,
76,STM,76,McArthur,3,http://www.stm.info/fr/infos/reseaux/bus,,
78,STM,78,Laurendeau,3,http://www.stm.info/fr/infos/reseaux/bus,,
80,STM,80,Avenue du Parc,3,http://www.stm.info/fr/infos/reseaux/bus,,
85,STM,85,Hochelaga,3,http://www.stm.info/fr/infos/reseaux/bus,,
86,STM,86,Pointe-aux-Trembles,3,http://www.stm.info/fr/infos/reseaux/bus,,
87,STM,87,Marien,3,http://www.stm.info/fr/infos/reseaux/bus,,
89,STM,89,Gouin / Perras,3,http://www.stm.info/fr/infos/reseaux/bus,,
90,STM,90,Saint-Jacques,3,http://www.stm.info/fr/infos/reseaux/bus,,
92,STM,92,Jean-Talon Ouest,3,http://www.stm.info/fr/infos/reseaux/bus,,
93,STM,93,Jean-Talon,3,http://www.stm.info/fr/infos/reseaux/bus,,
94,STM,94,D'Iberville,3,http://www.stm.info/fr/infos/reseaux/bus,,
95,STM,95,Bélanger,3,http://www.stm.info/fr/infos/reseaux/bus,,
97,STM,97,Mont-Royal,3,http://www.stm.info/fr/infos/reseaux/bus,,
99,STM,99,Villeray,3,http://www.stm.info/fr/infos/reseaux/bus,,
100,STM,100,Crémazie,3,http://www.stm.info/fr/infos/reseaux/bus,,
101,STM,101,Saint-Patrick,3,http://www.stm.info/fr/infos/reseaux/bus,,
102,STM,102,Somerled,3,http://www.stm.info/fr/infos/reseaux/bus,,
103,STM,103,Monkland,3,http://www.stm.info/fr/infos/reseaux/bus,,
104,STM,104,Cavendish,3,http://www.stm.info/fr/infos/reseaux/bus,,
105,STM,105,Sherbrooke,3,http://www.stm.info/fr/infos/reseaux/bus,,
106,STM,106,Newman,3,http://www.stm.info/fr/infos/reseaux/bus,,
107,STM,107,Verdun,3,http://www.stm.info/fr/infos/reseaux/bus,,
108,STM,108,Bannantyne,3,http://www.stm.info/fr/infos/reseaux/bus,,
109,STM,109,Boulevard Shevchenko,3,http://www.stm.info/fr/infos/reseaux/bus,,
110,STM,110,Centrale,3,http://www.stm.info/fr/infos/reseaux/bus,,
112,STM,112,Airlie,3,http://www.stm.info/fr/infos/reseaux/bus,,
113,STM,113,Lapierre,3,http://www.stm.info/fr/infos/reseaux/bus,,
115,STM,115,Paré,3,http://www.stm.info/fr/infos/reseaux/bus,,
116,STM,116,Lafleur / Norman,3,http://www.stm.info/fr/infos/reseaux/bus,,
117,STM,117,O'Brien,3,http://www.stm.info/fr/infos/reseaux/bus,,
119,STM,119,Rockland,3,http://www.stm.info/fr/infos/reseaux/bus,,
121,STM,121,Sauvé / Côte-vertu,3,http://www.stm.info/fr/infos/reseaux/bus,,
123,STM,123,Dollard,3,http://www.stm.info/fr/infos/reseaux/bus,,
124,STM,124,Victoria,3,http://www.stm.info/fr/infos/reseaux/bus,,
125,STM,125,Ontario,3,http://www.stm.info/fr/infos/reseaux/bus,,
126,STM,126,Polyvalente Émile-Legault,3,http://www.stm.info/fr/infos/reseaux/bus,,
127,STM,127,Hochelaga/H-Beaugrand,3,http://www.stm.info/fr/infos/reseaux/bus,,
128,STM,128,Ville-Saint-Laurent,3,http://www.stm.info/fr/infos/reseaux/bus,,
129,STM,129,Côte-Sainte-Catherine,3,http://www.stm.info/fr/infos/reseaux/bus,,
131,STM,131,De l'Assomption,3,http://www.stm.info/fr/infos/reseaux/bus,,
135,STM,135,De l'Esplanade,3,http://www.stm.info/fr/infos/reseaux/bus,,
136,STM,136,Viau,3,http://www.stm.info/fr/infos/reseaux/bus,,
138,STM,138,Notre-Dame-de-Grâce,3,http://www.stm.info/fr/infos/reseaux/bus,,
139,STM,139,Pie-IX,3,http://www.stm.info/fr/infos/reseaux/bus,,
140,STM,140,Fleury,3,http://www.stm.info/fr/infos/reseaux/bus,,
141,STM,141,Jean-Talon Est,3,http://www.stm.info/fr/infos/reseaux/bus,,
144,STM,144,Avenue des Pins,3,http://www.stm.info/fr/infos/reseaux/bus,,
146,STM,146,Christophe-Colomb / Meilleur,3,http://www.stm.info/fr/infos/reseaux/bus,,
150,STM,150,René-Lévesque,3,http://www.stm.info/fr/infos/reseaux/bus,,
160,STM,160,Barclay,3,http://www.stm.info/fr/infos/reseaux/bus,,
161,STM,161,Van Horne,3,http://www.stm.info/fr/infos/reseaux/bus,,
162,STM,162,Westminster,3,http://www.stm.info/fr/infos/reseaux/bus,,
164,STM,164,Dudemaine,3,http://www.stm.info/fr/infos/reseaux/bus,,
165,STM,165,Côte-des-Neiges,3,http://www.stm.info/fr/infos/reseaux/bus,,
166,STM,166,Queen-Mary,3,http://www.stm.info/fr/infos/reseaux/bus,,
168,STM,168,Cité-du-Havre,3,http://www.stm.info/fr/infos/reseaux/bus,,
170,STM,170,Keller,3,http://www.stm.info/fr/infos/reseaux/bus,,
171,STM,171,Henri-Bourassa,3,http://www.stm.info/fr/infos/reseaux/bus,,
172,STM,172,Cote-de-Liesse,3,http://www.stm.info/fr/infos/reseaux/bus,,
174,STM,174,Côte-Vertu-Ouest,3,http://www.stm.info/fr/infos/reseaux/bus,,
175,STM,175,Griffith / Saint-François,3,http://www.stm.info/fr/infos/reseaux/bus,,
177,STM,177,Thimens,3,http://www.stm.info/fr/infos/reseaux/bus,,
178,STM,178,Pointe-nord - Île-des-Soeurs,3,http://www.stm.info/fr/infos/reseaux/bus,,
179,STM,179,De L'Acadie,3,http://www.stm.info/fr/infos/reseaux/bus,,
180,STM,180,De Salaberry,3,http://www.stm.info/fr/infos/reseaux/bus,,
183,STM,183,Gouin Est,3,http://www.stm.info/fr/infos/reseaux/bus,,
185,STM,185,Sherbrooke,3,http://www.stm.info/fr/infos/reseaux/bus,,
186,STM,186,Sherbrooke-Est,3,http://www.stm.info/fr/infos/reseaux/bus,,
187,STM,187,René-Lévesque,3,http://www.stm.info/fr/infos/reseaux/bus,,
188,STM,188,Couture,3,http://www.stm.info/fr/infos/reseaux/bus,,
189,STM,189,Notre-Dame,3,http://www.stm.info/fr/infos/reseaux/bus,,
191,STM,191,Broadway / Provost,3,http://www.stm.info/fr/infos/reseaux/bus,,
192,STM,192,Robert,3,http://www.stm.info/fr/infos/reseaux/bus,,
193,STM,193,Jarry,3,http://www.stm.info/fr/infos/reseaux/bus,,
195,STM,195,Sherbrooke / Notre-Dame,3,http://www.stm.info/fr/infos/reseaux/bus,,
196,STM,196,Parc-Industriel-Lachine,3,http://www.stm.info/fr/infos/reseaux/bus,,
197,STM,197,Rosemont,3,http://www.stm.info/fr/infos/reseaux/bus,,
200,STM,200,Sainte-Anne-de-Bellevue,3,http://www.stm.info/fr/infos/reseaux/bus,,
201,STM,201,Saint-Charles / Saint-Jean,3,http://www.stm.info/fr/infos/reseaux/bus,,
202,STM,202,Dawson,3,http://www.stm.info/fr/infos/reseaux/bus,,
203,STM,203,Carson,3,http://www.stm.info/fr/infos/reseaux/bus,,
204,STM,204,Cardinal,3,http://www.stm.info/fr/infos/reseaux/bus,,
205,STM,205,Gouin,3,http://www.stm.info/fr/infos/reseaux/bus,,
206,STM,206,Roger-Pilon,3,http://www.stm.info/fr/infos/reseaux/bus,,
207,STM,207,Jacques-Bizard,3,http://www.stm.info/fr/infos/reseaux/bus,,
208,STM,208,Brunswick,3,http://www.stm.info/fr/infos/reseaux/bus,,
209,STM,209,Des Sources,3,http://www.stm.info/fr/infos/reseaux/bus,,
211,STM,211,Bord-du-Lac,3,http://www.stm.info/fr/infos/reseaux/bus,,
212,STM,212,Sainte-Anne,3,http://www.stm.info/fr/infos/reseaux/bus,,
213,STM,213,Parc-Industriel-Saint-Laurent,3,http://www.stm.info/fr/infos/reseaux/bus,,
215,STM,215,Henri-Bourassa,3,http://www.stm.info/fr/infos/reseaux/bus,,
216,STM,216,Transcanadienne,3,http://www.stm.info/fr/infos/reseaux/bus,,
217,STM,217,Anse-à-l'Orme,3,http://www.stm.info/fr/infos/reseaux/bus,,
218,STM,218,Antoine-Faucon,3,http://www.stm.info/fr/infos/reseaux/bus,,
219,STM,219,Chemin Sainte-Marie,3,http://www.stm.info/fr/infos/reseaux/bus,,
220,STM,220,Kieran,3,http://www.stm.info/fr/infos/reseaux/bus,,
222,STM,222,Hickmore,3,http://www.stm.info/fr/infos/reseaux/bus,,
225,STM,225,Hymus,3,http://www.stm.info/fr/infos/reseaux/bus,,
350,STM,350,Verdun / LaSalle (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
353,STM,353,Lacordaire / Maurice-Duplessis (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
354,STM,354,*-Anne-de-Bellevue / Centre-Ville (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
355,STM,355,Pie-IX (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
356,STM,356,*/ Montréal-Trudeau / Des Sources (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
357,STM,357,Saint-Michel (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
358,STM,358,Sainte-Catherine (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
359,STM,359,Papineau (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
360,STM,360,Avenue des Pins (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
361,STM,361,Saint-Denis (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
362,STM,362,Hochelaga / Notre-Dame (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
363,STM,363,Boulevard Saint-Laurent (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
364,STM,364,Sherbrooke / Joseph-Renaud (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
365,STM,365,Avenue du Parc (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
368,STM,368,Mont-Royal (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
369,STM,369,Côte-des-Neiges (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
370,STM,370,Rosemont (nuit),3,http://www.stm.info/fr/infos/reseaux/bus,,
