shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
14S-117-01-N,45.528476,-73.700582,22
14S-164-01-E,45.528362,-73.700844,34
14S-365-01-S,45.537229,-73.700193,9
14S-180-JO-E,45.537229,-73.700193,9
14S-69-01-E,45.541742,-73.698916,16
14S-365-01-N,45.539182,-73.697812,59
14S-180-JO-O,45.539182,-73.697812,21
14S-164-01-E,45.531017,-73.697457,36
14S-69-01-O,45.541072,-73.695623,62
14S-164-01-E,45.533504,-73.694295,37
14S-164-01-O,45.534753,-73.693004,18
14S-164-01-O,45.536584,-73.69067,17
14S-365-01-N,45.537947,-73.688544,56
14S-180-JO-O,45.537947,-73.688544,18
14S-179-01-N,45.537947,-73.688544,34
14S-164-01-E,45.537675,-73.688947,40
14S-69-01-E,45.547443,-73.683831,22
14S-69-01-O,45.54802,-73.680583,56
14S-365-01-N,45.534324,-73.680533,54
14S-179-01-N,45.534324,-73.680533,32
14S-380-01-O,45.536508,-73.67975,64
14S-180-JO-O,45.536508,-73.67975,15
14S-171-01-O,45.536508,-73.67975,14
14S-164-01-E,45.538055,-73.67922,43
14S-69-01-O,45.549709,-73.67683,54
14S-69-01-O,45.550813,-73.675265,53
14S-69-01-E,45.550521,-73.675398,26
14S-380-01-O,45.543592,-73.675368,61
14S-171-01-O,45.543592,-73.675368,11
14S-164-01-O,45.543592,-73.675368,11
14S-380-01-O,45.54464,-73.674639,60
14S-171-01-O,45.54464,-73.674639,10
14S-164-01-O,45.54464,-73.674639,10
14S-69-01-E,45.551149,-73.674001,27
14S-380-01-O,45.547033,-73.673149,58
14S-171-01-O,45.547033,-73.673149,8
14S-164-01-O,45.547033,-73.673149,8
14S-69-01-E,45.550533,-73.671935,28
14S-380-01-E,45.550139,-73.67073,42
14S-171-01-E,45.550139,-73.67073,36
14S-164-01-E,45.550139,-73.67073,50
14S-180-JO-O,45.541829,-73.669108,10
14S-380-01-O,45.555541,-73.668233,53
14S-69-01-O,45.555541,-73.668233,48
14S-380-LC-E,45.556076,-73.667454,1
14S-380-01-E,45.556076,-73.667454,46
14S-69-01-E,45.556076,-73.667454,32
14S-146-SW-O,45.540926,-73.667898,35
14S-146-LC-O,45.540926,-73.667898,18
14S-146-JO-O,45.540926,-73.667898,34
14S-363-01-S,45.549412,-73.668145,7
14S-53-01-S,45.549412,-73.668145,7
14S-180-JO-O,45.5439,-73.667782,9
14S-180-JO-O,45.54582,-73.666583,8
14S-180-JO-E,45.546855,-73.665808,24
14S-380-01-O,45.561205,-73.665418,51
14S-146-SW-E,45.561205,-73.665418,33
14S-146-JO-E,45.561205,-73.665418,33
14S-69-01-O,45.561205,-73.665418,46
14S-380-LC-E,45.561504,-73.664668,4
14S-380-01-E,45.561504,-73.664668,49
14S-146-SW-O,45.561504,-73.664668,3
14S-146-JO-O,45.561504,-73.664668,2
14S-69-01-E,45.561504,-73.664668,35
14S-363-01-N,45.548565,-73.664659,46
14S-53-01-N,45.548565,-73.664659,12
14S-363-01-S,45.548448,-73.665081,8
14S-53-01-S,45.548448,-73.665081,8
14S-146-SW-O,45.540179,-73.6639,34
14S-146-LC-O,45.540179,-73.6639,17
14S-146-JO-O,45.540179,-73.6639,33
14S-378-01-O,45.541688,-73.663499,26
14S-121-01-O,45.541688,-73.663499,26
14S-378-01-E,45.542596,-73.66271,62
14S-121-01-E,45.542596,-73.66271,31
14S-363-01-S,45.547741,-73.662709,9
14S-53-01-S,45.547741,-73.662709,9
14S-380-01-O,45.564252,-73.661773,49
14S-69-01-O,45.564252,-73.661773,44
14S-380-01-O,45.565548,-73.66107,48
14S-69-01-O,45.565548,-73.66107,43
14S-140-LL-O,45.55501,-73.661116,41
14S-140-01-O,45.55501,-73.661116,41
14S-41-01-O,45.55501,-73.661116,57
14S-140-01-E,45.554631,-73.661132,8
14S-378-01-E,45.544305,-73.661402,64
14S-121-01-E,45.544305,-73.661402,33
14S-378-01-O,45.545519,-73.660867,23
14S-121-01-O,45.545519,-73.660867,23
14S-45-01-N,45.572131,-73.659875,52
14S-56-01-N,45.556342,-73.660014,6
14S-41-01-E,45.556342,-73.660014,6
14S-30-01-N,45.556342,-73.660014,57
14S-56-01-S,45.556317,-73.66043,6
14S-30-01-S,45.556317,-73.66043,6
14S-378-01-E,45.547426,-73.659313,66
14S-121-01-E,45.547426,-73.659313,35
14S-140-LL-O,45.558515,-73.659051,39
14S-140-01-O,45.558515,-73.659051,39
14S-41-01-O,45.558515,-73.659051,55
14S-382-01-E,45.498809,-73.660894,115
14S-371-01-S,45.498809,-73.660894,37
14S-368-01-E,45.498809,-73.660894,24
14S-17-01-S,45.498809,-73.660894,16
14S-361-01-N,45.55257,-73.658657,53
14S-180-JO-O,45.55257,-73.658657,3
14S-140-01-E,45.55257,-73.658657,6
14S-31-01-N,45.55257,-73.658657,24
14S-378-01-E,45.548426,-73.658675,67
14S-121-01-E,45.548426,-73.658675,36
14S-54-01-E,45.5309,-73.658441,15
14S-380-01-O,45.573066,-73.657296,44
14S-69-01-O,45.573066,-73.657296,39
14S-49-AM-O,45.573066,-73.657296,50
14S-49-01-O,45.573066,-73.657296,64
14S-48-GC-O,45.573066,-73.657296,47
14S-48-GB-O,45.573066,-73.657296,45
14S-48-AC-O,45.573066,-73.657296,43
14S-48-AB-O,45.573066,-73.657296,41
14S-146-SW-E,45.561163,-73.657122,29
14S-146-JO-E,45.561163,-73.657122,29
14S-363-01-N,45.546231,-73.656941,43
14S-53-01-N,45.546231,-73.656941,9
14S-140-LL-O,45.56267,-73.656579,36
14S-140-01-O,45.56267,-73.656579,36
14S-41-01-O,45.56267,-73.656579,52
14S-380-LC-E,45.57475,-73.65574,12
14S-380-01-E,45.57475,-73.65574,57
14S-69-01-E,45.57475,-73.65574,43
14S-140-LL-O,45.564004,-73.655787,35
14S-140-01-O,45.564004,-73.655787,35
14S-41-01-O,45.564004,-73.655787,51
14S-440-PM-O,45.550815,-73.656466,26
14S-440-AM-O,45.550815,-73.656466,25
14S-361-01-S,45.550815,-73.656466,9
14S-180-JO-E,45.550815,-73.656466,29
14S-140-LL-O,45.550815,-73.656466,44
14S-140-01-O,45.550815,-73.656466,44
14S-41-01-O,45.550815,-73.656466,60
14S-378-01-O,45.550617,-73.656326,20
14S-121-01-O,45.550617,-73.656326,20
14S-378-01-O,45.553214,-73.654939,18
14S-121-01-O,45.553214,-73.654939,18
14S-146-SW-E,45.537086,-73.654059,7
14S-146-JO-E,45.537086,-73.654059,7
14S-135-AM-S,45.537086,-73.654059,9
14S-54-01-O,45.52984,-73.655325,41
14S-140-01-E,45.566592,-73.654219,15
14S-41-01-E,45.566592,-73.654219,12
14S-146-SW-O,45.560213,-73.654511,7
14S-146-JO-O,45.560213,-73.654511,6
14S-380-01-O,45.578217,-73.653641,41
14S-69-01-O,45.578217,-73.653641,36
14S-378-01-O,45.554644,-73.654112,17
14S-121-01-O,45.554644,-73.654112,17
14S-359-01-N,45.568201,-73.653226,47
