route_id,service_id,trip_id,trip_headsign,wheelchair_accessible
11,14S_A,14S_A_11_1_10_11,11-O,1
11,14S_A,14S_A_11_1_11_11,11-E,1
11,14S_A,14S_A_11_1_12_11,11-O,1
11,14S_A,14S_A_11_1_13_11,11-E,1
11,14S_A,14S_A_11_1_14_11,11-O,1
11,14S_A,14S_A_11_1_15_11,11-E,1
11,14S_A,14S_A_11_1_16_11,11-O,1
11,14S_A,14S_A_11_1_17_11,11-E,1
11,14S_A,14S_A_11_1_18_11,11-O,1
11,14S_A,14S_A_11_1_19_11,11-E,1
11,14S_A,14S_A_11_1_20_11,11-O,1
11,14S_A,14S_A_11_1_21_11,11-E,1
11,14S_A,14S_A_11_1_22_11,11-O,1
11,14S_A,14S_A_11_1_23_11,11-E,1
11,14S_A,14S_A_11_1_24_11,11-O,1
11,14S_A,14S_A_11_1_25_11,11-E,1
11,14S_A,14S_A_11_1_26_11,11-O,1
11,14S_A,14S_A_11_1_27_11,11-E,1
11,14S_A,14S_A_11_1_28_11,11-O,1
11,14S_A,14S_A_11_1_29_11,11-E,1
11,14S_A,14S_A_11_1_30_11,11-O,1
11,14S_A,14S_A_11_1_31_11,11-E,1
11,14S_A,14S_A_11_1_4_11,11-O,1
11,14S_A,14S_A_11_1_5_11,11-E,1
11,14S_A,14S_A_11_1_6_11,11-O,1
11,14S_A,14S_A_11_1_7_11,11-E,1
11,14S_A,14S_A_11_1_8_11,11-O,1
11,14S_A,14S_A_11_1_9_11,11-E,1
11,14S_A,14S_A_11_2_10_11,11-O,1
11,14S_A,14S_A_11_2_11_11,11-E,1
11,14S_A,14S_A_11_2_12_11,11-O,1
11,14S_A,14S_A_11_2_13_11,11-E,1
11,14S_A,14S_A_11_2_14_11,11-O,1
11,14S_A,14S_A_11_2_15_11,11-E,1
11,14S_A,14S_A_11_2_16_11,11-O,1
11,14S_A,14S_A_11_2_17_11,11-E,1
11,14S_A,14S_A_11_2_18_11,11-O,1
11,14S_A,14S_A_11_2_19_11,11-E,1
11,14S_A,14S_A_11_2_2_11,11-O,1
11,14S_A,14S_A_11_2_20_11,11-O,1
11,14S_A,14S_A_11_2_21_11,11-E,1
11,14S_A,14S_A_11_2_22_11,11-O,1
11,14S_A,14S_A_11_2_23_11,11-E,1
11,14S_A,14S_A_11_2_24_11,11-O,1
11,14S_A,14S_A_11_2_25_11,11-E,1
11,14S_A,14S_A_11_2_26_11,11-O,1
11,14S_A,14S_A_11_2_27_11,11-E,1
11,14S_A,14S_A_11_2_28_11,11-O,1
11,14S_A,14S_A_11_2_29_11,11-E,1
11,14S_A,14S_A_11_2_3_11,11-E,1
11,14S_A,14S_A_11_2_30_11,11-O,1
11,14S_A,14S_A_11_2_31_11,11-E,1
11,14S_A,14S_A_11_2_4_11,11-O,1
11,14S_A,14S_A_11_2_5_11,11-E,1
11,14S_A,14S_A_11_2_6_11,11-O,1
11,14S_A,14S_A_11_2_7_11,11-E,1
11,14S_A,14S_A_11_2_8_11,11-O,1
11,14S_A,14S_A_11_2_9_11,11-E,1
11,14S_A,14S_A_11_3_10_11,11-O,0
11,14S_A,14S_A_11_3_11_11,11-E,0
11,14S_A,14S_A_11_3_12_11,11-O,0
11,14S_A,14S_A_11_3_13_11,11-E,0
11,14S_A,14S_A_11_3_14_11,11-O,0
11,14S_A,14S_A_11_3_15_11,11-E,0
11,14S_A,14S_A_11_3_2_11,11-O,0
11,14S_A,14S_A_11_3_3_11,11-E,0
11,14S_A,14S_A_11_3_4_11,11-O,0
11,14S_A,14S_A_11_3_5_11,11-E,0
11,14S_A,14S_A_11_3_6_11,11-O,0
11,14S_A,14S_A_11_3_7_11,11-E,0
11,14S_A,14S_A_11_3_8_11,11-O,0
11,14S_A,14S_A_11_3_9_11,11-E,0
11,14S_A,14S_A_11_4_2_11,11-O,0
11,14S_A,14S_A_11_4_3_11,11-E,0
11,14S_A,14S_A_11_4_4_11,11-O,0
11,14S_A,14S_A_11_4_5_11,11-E,0
11,14S_A,14S_A_11_4_6_11,11-O,0
11,14S_A,14S_A_11_4_7_11,11-E,0
12,14S_A,14S_A_12_1_10_12,12-S,1
12,14S_A,14S_A_12_1_11_12,12-N,1
12,14S_A,14S_A_12_1_12_12,12-S,1
12,14S_A,14S_A_12_1_13_12,12-N,1
12,14S_A,14S_A_12_1_14_12,12-S,1
12,14S_A,14S_A_12_1_15_12,12-N,1
12,14S_A,14S_A_12_1_16_12,12-S,1
12,14S_A,14S_A_12_1_17_12,12-N,1
12,14S_A,14S_A_12_1_18_12,12-S,1
12,14S_A,14S_A_12_1_19_12,12-N,1
12,14S_A,14S_A_12_1_2_12,12-S,1
12,14S_A,14S_A_12_1_20_12,12-S,1
12,14S_A,14S_A_12_1_21_12,12-N,1
12,14S_A,14S_A_12_1_22_12,12-S,1
12,14S_A,14S_A_12_1_23_12,12-N,1
12,14S_A,14S_A_12_1_24_12,12-S,1
12,14S_A,14S_A_12_1_25_12,12-N,1
12,14S_A,14S_A_12_1_26_12,12-S,1
12,14S_A,14S_A_12_1_27_12,12-N,1
12,14S_A,14S_A_12_1_28_12,12-S,1
12,14S_A,14S_A_12_1_29_12,12-N,1
12,14S_A,14S_A_12_1_3_12,12-N,1
12,14S_A,14S_A_12_1_30_12,12-S,1
12,14S_A,14S_A_12_1_31_12,12-N,1
12,14S_A,14S_A_12_1_32_12,12-S,1
12,14S_A,14S_A_12_1_33_12,12-N,1
12,14S_A,14S_A_12_1_34_12,12-S,1
12,14S_A,14S_A_12_1_35_12,12-N,1
12,14S_A,14S_A_12_1_36_12,12-S,1
12,14S_A,14S_A_12_1_37_12,12-N,1
